Location,Date,Morning,Afternoon,Night,Summary,SummaryWhen,MinTemp,MaxTemp,
Kubang Pasu,18/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,30,
Kubang Pasu,17/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,25,30,
Kubang Pasu,16/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Hujan menyeluruh,Ribut petir di beberapa tempat,Pagi dan Petang,25,30,
Kubang Pasu,15/10/2025,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan di kebanyakan tempat,Ribut petir di kebanyakan tempat,Petang,25,30,
Kota Setar,21/10/2025,Ribut petir menyeluruh,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir menyeluruh,Pagi dan Petang,26,31,
Kota Setar,20/10/2025,Ribut petir menyeluruh,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir menyeluruh,Pagi dan Petang,26,31,
Kota Setar,19/10/2025,Ribut petir menyeluruh,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir menyeluruh,Pagi dan Petang,26,31,
Kota Setar,18/10/2025,Ribut petir menyeluruh,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir menyeluruh,Pagi dan Petang,26,31,
Kota Setar,17/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,26,31,
Kota Setar,16/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Pagi dan Petang,26,31,
Kota Setar,15/10/2025,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan di beberapa tempat,Ribut petir di kebanyakan tempat,Petang,26,31,
Pokok Sena,21/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,23,31,
Pokok Sena,20/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,23,31,
Pokok Sena,19/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,23,31,
Pokok Sena,18/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,23,31,
Pokok Sena,17/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,31,
Pokok Sena,16/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Petang,23,31,
Pokok Sena,15/10/2025,Tiada hujan,Ribut petir menyeluruh,Hujan di kebanyakan tempat,Ribut petir menyeluruh,Petang,23,31,
Padang Terap,21/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,30,
Padang Terap,20/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,30,
Padang Terap,19/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,30,
Padang Terap,18/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,30,
Padang Terap,17/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,30,
Padang Terap,16/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Petang,23,30,
Padang Terap,15/10/2025,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan menyeluruh,Ribut petir di kebanyakan tempat,Petang,23,30,
Yan,21/10/2025,Ribut petir,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir,Pagi dan Petang,25,31,
Yan,20/10/2025,Ribut petir,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir,Pagi dan Petang,25,31,
Yan,19/10/2025,Ribut petir,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir,Pagi dan Petang,25,31,
Yan,18/10/2025,Ribut petir,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir,Pagi dan Petang,25,31,
Yan,17/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,31,
Yan,16/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan di kebanyakan tempat,Ribut petir di beberapa tempat,Petang,25,31,
Yan,15/10/2025,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan di beberapa tempat,Ribut petir di kebanyakan tempat,Petang,25,31,
Pendang,21/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,31,
Pendang,20/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,31,
Pendang,19/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,31,
Pendang,18/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,31,
Pendang,17/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,25,31,
Pendang,16/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Petang,25,31,
Pendang,15/10/2025,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan di beberapa tempat,Ribut petir di kebanyakan tempat,Petang,25,31,
Kuala Muda,21/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,26,31,
Kuala Muda,20/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,26,31,
Kuala Muda,19/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,26,31,
Kuala Muda,18/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,26,31,
Kuala Muda,17/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Pagi dan Petang,26,31,
Kuala Muda,16/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan di kebanyakan tempat,Ribut petir di beberapa tempat,Petang,26,31,
Kuala Muda,15/10/2025,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan di beberapa tempat,Ribut petir di kebanyakan tempat,Petang,26,31,
Sik,21/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,30,
Sik,20/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,30,
Sik,19/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,30,
Sik,18/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,30,
Sik,17/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,30,
Sik,16/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan di kebanyakan tempat,Ribut petir di beberapa tempat,Petang,23,30,
Sik,15/10/2025,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan menyeluruh,Ribut petir di kebanyakan tempat,Petang,23,30,
Barat Daya,21/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,30,
Barat Daya,20/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,30,
Barat Daya,19/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,30,
Barat Daya,18/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,30,
Barat Daya,17/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,30,
Barat Daya,16/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,25,30,
Barat Daya,15/10/2025,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan di kebanyakan tempat,Ribut petir di kebanyakan tempat,Petang,25,30,
Timur Laut,21/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,31,
Timur Laut,20/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,31,
Timur Laut,19/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,31,
Timur Laut,18/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,31,
Timur Laut,17/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,31,
Timur Laut,16/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,25,31,
Timur Laut,15/10/2025,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan di kebanyakan tempat,Ribut petir di kebanyakan tempat,Petang,25,31,
Seberang Perai Utara,21/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,31,
Seberang Perai Utara,20/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,31,
Seberang Perai Utara,19/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,31,
Seberang Perai Utara,18/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,31,
Seberang Perai Utara,17/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,31,
Seberang Perai Utara,16/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Hujan di kebanyakan tempat,Ribut petir di beberapa tempat,Pagi dan Petang,25,31,
Seberang Perai Utara,15/10/2025,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan menyeluruh,Ribut petir di kebanyakan tempat,Petang,25,31,
Seberang Perai Tengah,21/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,31,
Seberang Perai Tengah,20/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,31,
Seberang Perai Tengah,19/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,31,
Seberang Perai Tengah,18/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,31,
Seberang Perai Tengah,17/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Hujan menyeluruh,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,31,
Seberang Perai Tengah,16/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,25,31,
Seberang Perai Tengah,15/10/2025,Tiada hujan,Ribut petir menyeluruh,Hujan menyeluruh,Ribut petir menyeluruh,Petang,25,31,
Baling,21/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,30,
Baling,20/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,30,
Baling,19/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,30,
Baling,18/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,30,
Baling,17/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan di kebanyakan tempat,Ribut petir di beberapa tempat,Petang,23,30,
Baling,16/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan di kebanyakan tempat,Ribut petir di beberapa tempat,Petang,23,30,
Baling,15/10/2025,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan menyeluruh,Ribut petir di kebanyakan tempat,Petang,23,30,
Kulim,21/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,24,31,
Kulim,20/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,24,31,
Kulim,19/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,24,31,
Kulim,18/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,24,31,
Kulim,17/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan,Ribut petir di beberapa tempat,Petang,24,31,
Kulim,16/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan di kebanyakan tempat,Ribut petir di beberapa tempat,Petang,24,31,
Kulim,15/10/2025,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan menyeluruh,Ribut petir di kebanyakan tempat,Petang,24,31,
Seberang Perai Selatan,21/10/2025,Ribut petir menyeluruh,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir menyeluruh,Pagi dan Petang,25,31,
Seberang Perai Selatan,20/10/2025,Ribut petir menyeluruh,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir menyeluruh,Pagi dan Petang,25,31,
Seberang Perai Selatan,19/10/2025,Ribut petir menyeluruh,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir menyeluruh,Pagi dan Petang,25,31,
Seberang Perai Selatan,18/10/2025,Ribut petir menyeluruh,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir menyeluruh,Pagi dan Petang,25,31,
Seberang Perai Selatan,17/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,31,
Seberang Perai Selatan,16/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,25,31,
Seberang Perai Selatan,15/10/2025,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan menyeluruh,Ribut petir di kebanyakan tempat,Petang,25,31,
Bandar Baharu,21/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,25,31,
Bandar Baharu,20/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,25,31,
Bandar Baharu,19/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,25,31,
Bandar Baharu,18/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,25,31,
Bandar Baharu,17/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan di kebanyakan tempat,Ribut petir di beberapa tempat,Petang,25,31,
Bandar Baharu,16/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan di kebanyakan tempat,Ribut petir di beberapa tempat,Petang,25,31,
Bandar Baharu,15/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan menyeluruh,Ribut petir di beberapa tempat,Petang,25,31,
Kerian,21/10/2025,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,23,33,
Kerian,20/10/2025,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,23,33,
Kerian,19/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,23,33,
Kerian,18/10/2025,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,23,33,
Kerian,17/10/2025,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,23,33,
Kerian,16/10/2025,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,23,33,
Kerian,15/10/2025,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,23,33,
Larut, Matang Dan Selama,21/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Pagi dan Petang,23,34
Larut, Matang Dan Selama,20/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Pagi dan Petang,23,34
Larut, Matang Dan Selama,19/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Pagi dan Petang,23,34
Larut, Matang Dan Selama,18/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Pagi dan Petang,23,34
Larut, Matang Dan Selama,17/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,23,34
Larut, Matang Dan Selama,16/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Petang,23,34
Larut, Matang Dan Selama,15/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Petang,23,34
Hulu Perak,21/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Petang,21,34,
Hulu Perak,20/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Petang,21,34,
Hulu Perak,19/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Petang,21,34,
Hulu Perak,18/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Petang,21,34,
Hulu Perak,17/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,21,34,
Hulu Perak,16/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Petang,21,34,
Hulu Perak,15/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Petang,21,34,
Tumpat,21/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,23,34,
Tumpat,20/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,23,34,
Tumpat,19/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,23,34,
Tumpat,18/10/2025,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,23,34,
Tumpat,17/10/2025,Hujan di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Malam,23,34,
Tumpat,16/10/2025,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,23,34,
Tumpat,15/10/2025,Hujan di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Malam,23,34,
Pasir Mas,21/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,23,33,
Pasir Mas,20/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,23,33,
Pasir Mas,19/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,23,33,
Pasir Mas,18/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,23,33,
Pasir Mas,17/10/2025,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,23,33,
Pasir Mas,16/10/2025,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,33,
Pasir Mas,15/10/2025,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,33,
Kota Bharu,21/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,23,34,
Kota Bharu,20/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,23,34,
Kota Bharu,19/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,23,34,
Kota Bharu,18/10/2025,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,23,34,
Kota Bharu,17/10/2025,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,23,34,
Kota Bharu,16/10/2025,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,34,
Kota Bharu,15/10/2025,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,34,
Jeli,21/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,21,34,
Jeli,20/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,21,34,
Jeli,19/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,21,34,
Jeli,18/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,21,34,
Jeli,17/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,21,34,
Jeli,16/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,21,34,
Jeli,15/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,21,34,
